year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2035,2010,R_AmericanMFRK,R_AmericanNFRK,3970523.891,0,0,0
2030,2010,R_AmericanMFRK,R_AmericanNFRK,3916454.314,0,0,0
2025,2010,R_AmericanMFRK,R_AmericanNFRK,3852942.574,0,0,0
2035,2010,LK_ShastaCVP,CVPR_Sacramento,3835348.082,0,0,0
2030,2010,LK_ShastaCVP,CVPR_Sacramento,3787436.244,0,0,0
2020,2010,R_AmericanMFRK,R_AmericanNFRK,3777946.85,0,0,0
2015,2010,R_AmericanMFRK,R_AmericanNFRK,3735614.611,0,0,0
2035,2010,R_AmericanNFRK,R_American,3731726.362,0,0,0
2035,2010,R_AmericanSFRK,R_American,3731726.362,0,0,0
2025,2010,LK_ShastaCVP,CVPR_Sacramento,3728526.535,0,0,0
2030,2010,R_AmericanNFRK,R_American,3688031.004,0,0,0
2030,2010,R_AmericanSFRK,R_American,3688031.004,0,0,0
2020,2010,LK_ShastaCVP,CVPR_Sacramento,3659585.134,0,0,0
2025,2010,R_AmericanNFRK,R_American,3631695.565,0,0,0
2025,2010,R_AmericanSFRK,R_American,3631695.565,0,0,0
2015,2010,LK_ShastaCVP,CVPR_Sacramento,3605008.401,0,0,0
2035,2010,CVPR_Sacramento,R_Sacramento,3580270.043,0,0,0
2035,2010,R_American,R_Sacramento,3580270.043,0,0,0
2035,2010,R_Feather,R_Sacramento,3580270.043,0,0,0
2020,2010,R_AmericanNFRK,R_American,3564775.048,0,0,0
2020,2010,R_AmericanSFRK,R_American,3564775.048,0,0,0
2030,2010,CVPR_Sacramento,R_Sacramento,3537434.359,0,0,0
2030,2010,R_American,R_Sacramento,3537434.359,0,0,0
2030,2010,R_Feather,R_Sacramento,3537434.359,0,0,0
2015,2010,R_AmericanNFRK,R_American,3529942.023,0,0,0
2015,2010,R_AmericanSFRK,R_American,3529942.023,0,0,0
2025,2010,CVPR_Sacramento,R_Sacramento,3492389.405,0,0,0
2025,2010,R_American,R_Sacramento,3492389.405,0,0,0
2025,2010,R_Feather,R_Sacramento,3492389.405,0,0,0
2010,2010,R_AmericanMFRK,R_AmericanNFRK,3464468.21,0,0,0
2020,2010,CVPR_Sacramento,R_Sacramento,3436968.829,0,0,0
2020,2010,R_American,R_Sacramento,3436968.829,0,0,0
2020,2010,R_Feather,R_Sacramento,3436968.829,0,0,0
2015,2010,CVPR_Sacramento,R_Sacramento,3395302.906,0,0,0
2015,2010,R_American,R_Sacramento,3395302.906,0,0,0
2015,2010,R_Feather,R_Sacramento,3395302.906,0,0,0
2010,2010,LK_ShastaCVP,CVPR_Sacramento,3315462.505,0,0,0
2010,2010,R_AmericanNFRK,R_American,3236356.401,0,0,0
2010,2010,R_AmericanSFRK,R_American,3236356.401,0,0,0
2010,2010,CVPR_Sacramento,R_Sacramento,3152266.568,0,0,0
2010,2010,R_American,R_Sacramento,3152266.568,0,0,0
2010,2010,R_Feather,R_Sacramento,3152266.568,0,0,0
2010,2010,1807217IMP,1807217PD,2023027,0,403,0
2010,2010,1807217PD,1807217E,2023027,163.1,0,0
2035,2010,R_Sacramento,SFBayDelta,1980046.126,0,0,0
2030,2010,R_Sacramento,SFBayDelta,1954737.29,0,0,0
2025,2010,R_Sacramento,SFBayDelta,1920798.99,0,0,0
2020,2010,R_Sacramento,SFBayDelta,1883336.256,0,0,0
2015,2010,R_Sacramento,SFBayDelta,1851810.773,0,0,0
2010,2010,R_Sacramento,SFBayDelta,1686900.127,0,0,0
2035,2010,Lk_OrovilleSWP,SW1802SWP01,1601501.276,0,0,0
2035,2010,SW1802SWP01,SW1802SWP02,1601501.276,0,0,0
2035,2010,R_Feather,SWPR_Feather,1591410.377,0,0,0
2035,2010,SWPR_Feather,SWPR_Sacramento,1591410.377,0,0,0
2035,2010,R_Sacramento,SWPR_Sacramento,1591410.377,0,0,0
2035,2010,SWPR_Sacramento,SWP_SFBayDelta,1591410.377,0,0,0
2035,2010,SFBayDelta,SWP_SFBayDelta,1591410.377,0,0,0
2035,2010,SW1802SWP02,SWPR_Feather,1591410.377,0,0,0
2030,2010,Lk_OrovilleSWP,SW1802SWP01,1583424.231,0,0,0
2030,2010,SW1802SWP01,SW1802SWP02,1583424.231,0,0,0
2030,2010,R_Feather,SWPR_Feather,1574450.741,0,0,0
2030,2010,SWPR_Feather,SWPR_Sacramento,1574450.741,0,0,0
2030,2010,R_Sacramento,SWPR_Sacramento,1574450.741,0,0,0
2030,2010,SWPR_Sacramento,SWP_SFBayDelta,1574450.741,0,0,0
2030,2010,SFBayDelta,SWP_SFBayDelta,1574450.741,0,0,0
2030,2010,SW1802SWP02,SWPR_Feather,1574450.741,0,0,0
